partner,media,replicate,intermixing_indices,rings,mean_intermixing,sector_size_Oa,sector_size_partner,oa_frequency
AlFa,GluT,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5, 127.5, 132.5, 137.5, 142.5, 147.5, 152.5, 157.5, 162.5, 167.5, 172.5, 177.5, 182.5, 187.5, 192.5]",0.0,2654.996429815395,2.3577125939194907,0.9993398852519176
AlFa,GluT,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5, 127.5, 132.5, 137.5, 142.5, 147.5, 152.5, 157.5, 162.5, 167.5, 172.5, 177.5, 182.5, 187.5, 192.5, 197.5, 202.5, 207.5]",0.0,2525.008541073585,8.783432108350585,0.9962564503771926
AlFa,GluT,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5]",0.0,3701.8111764705886,5.807581699346405,0.9995637696121912
AlFa,Glu,1,"[0.01764135361636613, 0.01466622610846892, 0.02006715621362012, 0.011313253710434476, 0.012703670629717521, 0.019364429599331365, 0.027837706449602994, 0.023558783165017232, 0.021673588904471713, 0.026085580669033156, 0.03748007328827398, 0.0297654701183412, 0.03312131340767728, 0.018857263966630178, 0.03697184310464005, 0.043524394398513924, 0.03951311093229351, 0.05673639700425874, 0.06966318892572303, 0.06652898580437479, 0.07796677368167161, 0.08224288152039325, 0.10556654461622483, 0.07797424383484614, 0.0905842942190381, 0.08138398132966708, 0.08861408833796301, 0.09470486901557049, 0.10538113054454813, 0.10413644248017188, 0.13015414644034237, 0.10247843626058083, 0.12196762797102428, 0.14770826328277564, 0.1709203727392104, 0.17415097629897155, 0.13871517969305666, 0.1556180011338557, 0.167893408437794, 0.17154345926878878, 0.17673312590308823, 0.1896281421254867, 0.19054009043069906, 0.19175370748436565, 0.2098459151336075, 0.22612484652837325, 0.2433313083623592, 0.23852017954830051, 0.22423320822483706, 0.23548278320727453, 0.2556816089613444, 0.2528768753818898, 0.24680039015163927, 0.21665844598425388, 0.20918608655699442, 0.21527562831140373, 0.25784563912809594, 0.21326662622093542, 0.20694511291967, 0.23299263497132172, 0.2827338312457708, 0.31457285913645777, 0.25027164627352866, 0.23348958727237973, 0.27376176236180516, 0.289440768341385, 0.28068982749945465, 0.2735438691635955, 0.24578052621497934, 0.2664342535309606, 0.2670883357019786, 0.3026578878579827, 0.29748852056140734, 0.27774883656653465, 0.2826162068264216, 0.269543426530758, 0.2807322004054718, 0.26309597221719444, 0.32875906298305707, 0.36844311571521604, 0.36690687715032505, 0.32907276097755433, 0.3088528163087728, 0.3612573061125553, 0.26245620676308523, 0.3407342203189779, 0.31676305441426295, 0.35003977549450355, 0.24454977495887836]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5, 127.5, 132.5, 137.5, 142.5, 147.5, 152.5, 157.5, 162.5, 167.5, 172.5, 177.5, 182.5, 187.5, 192.5, 197.5, 202.5, 207.5, 212.5, 217.5, 222.5, 227.5, 232.5, 237.5, 242.5, 247.5, 252.5, 257.5, 262.5, 267.5, 272.5, 277.5, 282.5, 287.5, 292.5, 297.5, 302.5, 307.5, 312.5, 317.5, 322.5, 327.5, 332.5, 337.5, 342.5, 347.5, 352.5, 357.5, 362.5, 367.5, 372.5, 377.5, 382.5, 387.5, 392.5, 397.5, 402.5, 407.5, 412.5, 417.5, 422.5, 427.5, 432.5, 437.5, 442.5, 447.5, 452.5, 457.5, 462.5, 467.5, 472.5, 477.5, 482.5, 487.5, 492.5]",0.27143539063327904,126.68399878244848,3.209481885051651,0.9453512414059743
AlFa,Glu,2,"[0.012575547438730635, 0.012838935293419604, 0.026264976639117, 0.030348439175069047, 0.023131208173692228, 0.03117092419778882, 0.038627388983015244, 0.03042614373066515, 0.02447692570122705, 0.028118808078519315, 0.03548152995248976, 0.03882985386267726, 0.04703742704314687, 0.0556030173720862, 0.06140726547837658, 0.06279065479853968, 0.07743576998891909, 0.06784102582390777, 0.07169262416220377, 0.09017095656331395, 0.09553346207819308, 0.08713204491954613, 0.08499517281792245, 0.12237442991216342, 0.1270141641020227, 0.14933418167771673, 0.11403684033245322, 0.11406611108923688, 0.1268219635386669, 0.12101135322235512, 0.11878408483294815, 0.15282818997931294, 0.14812956678101316, 0.15709309575602548, 0.17534278912288243, 0.17219731526458226, 0.17661589941540715, 0.16009075625448832, 0.14347627162430662, 0.16416396396045935, 0.18876272141741915, 0.21594870989722886, 0.20409595535921085, 0.19116937601875528, 0.17700043212905206, 0.1944052094393927, 0.21784122437927642, 0.23487874409502496, 0.19481372543529699, 0.20139644498300677, 0.19811587633161037, 0.21465276969381322, 0.21250331028334896, 0.2244595146507208, 0.21119841275923495, 0.21283117786368438, 0.18445087034876573, 0.20660805607681806, 0.20416327413774632, 0.20908594521718105, 0.24746831851417464, 0.21574620726479257, 0.18325739759193435, 0.24761336735156675, 0.2258468358077889, 0.22378595202195523, 0.18148521268987283, 0.18875725039602084, 0.19567614251041468, 0.1611233884284705, 0.17548919124418322, 0.24298332217384264, 0.18922919675551858, 0.19528883973619243, 0.17035919887710832, 0.17196964852962754, 0.19539229222890064]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5, 127.5, 132.5, 137.5, 142.5, 147.5, 152.5, 157.5, 162.5, 167.5, 172.5, 177.5, 182.5, 187.5, 192.5, 197.5, 202.5, 207.5, 212.5, 217.5, 222.5, 227.5, 232.5, 237.5, 242.5, 247.5, 252.5, 257.5, 262.5, 267.5, 272.5, 277.5, 282.5, 287.5, 292.5, 297.5, 302.5, 307.5, 312.5, 317.5, 322.5, 327.5, 332.5, 337.5, 342.5, 347.5, 352.5, 357.5, 362.5, 367.5, 372.5, 377.5, 382.5, 387.5, 392.5, 397.5, 402.5, 407.5, 412.5, 417.5, 422.5, 427.5, 432.5]",0.20044855764676198,65.62808830543236,3.6740969046650966,0.9005355286664717
AlFa,Glu,3,"[0.013839449074923656, 0.020435299740570012, 0.01992505549868793, 0.01440279042410884, 0.025746228020015586, 0.0323821891207252, 0.04454964631385778, 0.041897373207942054, 0.04348221022684172, 0.059938623838903214, 0.04944315898489673, 0.04020445394792, 0.045567266105077255, 0.058121388760530246, 0.05485341625139206, 0.06165642588218265, 0.08497213268066854, 0.0929112917454836, 0.0822454546828643, 0.08884133649813512, 0.0897518768611655, 0.09835209110519379, 0.11023004943726462, 0.12200989438641928, 0.12142319041247399, 0.105637330809355, 0.12848384867216198, 0.12318095135396646, 0.13205646693925524, 0.12408838112396763, 0.16327653431217698, 0.16808189397374274, 0.16305889413471164, 0.15900011064612268, 0.17292944835543103, 0.16466768487755024, 0.17683724506590975, 0.1714532480836024, 0.1885567066523542, 0.17076716340000372, 0.15796828168923274, 0.14338308681974793, 0.16052512805873315, 0.197144269255837, 0.17496868156589465, 0.14472261242109427, 0.18721808090310693, 0.16849190661080335, 0.1583085990784816, 0.1577089452940934, 0.17813594486515047, 0.16591286781181525, 0.17612101318078752, 0.1547486661675991, 0.1473841717640953, 0.1557092649757271, 0.17224800977775132, 0.16451732863658436, 0.15994845148192466, 0.1415656871089858, 0.16493614738876475, 0.17595419570054163, 0.18412202551607168, 0.15428359613089498, 0.15473212391926877, 0.17165373624641325, 0.12821588305748988, 0.12845157194627257, 0.15536083433082581, 0.16375678095433888, 0.15679667373780073, 0.17077481883809026, 0.15389246323406108, 0.16254650201313264, 0.13864777588247584, 0.16448912963241427, 0.16007116372211935, 0.17795779967399514, 0.1296742554158395]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5, 127.5, 132.5, 137.5, 142.5, 147.5, 152.5, 157.5, 162.5, 167.5, 172.5, 177.5, 182.5, 187.5, 192.5, 197.5, 202.5, 207.5, 212.5, 217.5, 222.5, 227.5, 232.5, 237.5, 242.5, 247.5, 252.5, 257.5, 262.5, 267.5, 272.5, 277.5, 282.5, 287.5, 292.5, 297.5, 302.5, 307.5, 312.5, 317.5, 322.5, 327.5, 332.5, 337.5, 342.5, 347.5, 352.5, 357.5, 362.5, 367.5, 372.5, 377.5, 382.5, 387.5, 392.5, 397.5, 402.5, 407.5, 412.5, 417.5, 422.5, 427.5, 432.5, 437.5, 442.5]",0.1608453909552065,51.540683867303706,4.27542227211116,0.876720422813483
Ct,GluT,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5, 127.5, 132.5, 137.5, 142.5, 147.5, 152.5, 157.5, 162.5, 167.5, 172.5, 177.5]",0.0,4782.608319513028,3.5662936217394057,0.9982230171542723
Ct,GluT,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5, 127.5, 132.5, 137.5, 142.5, 147.5, 152.5, 157.5, 162.5, 167.5, 172.5, 177.5, 182.5, 187.5, 192.5, 197.5, 202.5, 207.5]",0.0,3923.7142518939395,0.5349195075757576,0.9998871220351897
Ct,GluT,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5, 127.5, 132.5, 137.5, 142.5, 147.5, 152.5, 157.5, 162.5]",0.0,1464.7786231884058,0.9242753623188406,0.9997848140178297
Ct,Glu,1,"[0.06059204287777335, 0.046105573516696, 0.05873878706766499, 0.07094642779549784, 0.06252714576302434, 0.06845891412372265, 0.09365681045569339, 0.07838448919810292, 0.07890102436541922, 0.109859272983199, 0.10255298002863242, 0.06796538503256341, 0.07120261624686246, 0.09145313881369473, 0.0883624983814736, 0.07689500332027918, 0.12094509138009482, 0.11437424061316237, 0.09228875605655884, 0.12652689399042993, 0.1009657707809487, 0.12626675063920043, 0.11800091755857794, 0.14473227759999907, 0.14977309122624663, 0.14687040048101713, 0.13132854902360797, 0.11703363366751987, 0.10446846464565765, 0.10199644492242724, 0.08587909606863404, 0.0615435468820352, 0.08137122116310196, 0.13480526533462767, 0.10379966831004823, 0.11313437599798983, 0.08830034279942676, 0.06514995179665577, 0.04741468714089948, 0.05141921249575367, 0.06986817277436069, 0.06051222456216107, 0.045535858304933556, 0.057010597980550665, 0.12037473383480847, 0.07997481474594371, 0.024661540703598956, 0.05998081402474301, 0.055557482088798016, 0.047246310179601646, 0.012864918965322462, 0.03973199806661963, 0.03685110465631685, 0.04201703667411425, 0.04121341734937168, 0.04806935786310962, 0.0363262032645501, 0.03350812804633239, 0.03430201753513686, 0.0018676113376924577, 0.04959354546847708, 0.033133219665580055, 0.0, 0.013968255385205911, 0.034571560984395934, 0.06856224071863479, 0.06828048872228258, 0.03414366237325821, 0.06922585312401114, 0.04506629626515037, 0.06975481051677955, 0.035651706351239036, 0.0538434265247618, 0.1296521699685124, 0.1664305721099737, 0.08906977739535828, 0.05726218114839942, 0.08484680202515518, 0.06387339042232129, 0.015848906570555845, 0.07883628969555254, 0.09854440062310323, 0.06465532893315708, 0.07728787772061184, 0.10240735501680309, 0.0712716157634985, 0.06989068025893125, 0.04344700255461523, 0.047065165385290784, 0.05209342377875164, 0.0637256208666884, 0.10246518207458008, 0.0878360957258484, 0.09465773065163594, 0.08360602879287553, 0.10282035793736159, 0.07577352818152838, 0.046886512103225836, 0.06564038770410707, 0.07118529861433502, 0.04585168476009331, 0.06196940296878753, 0.0698338649633819, 0.0917000220954728, 0.08643477997900827, 0.039350570885180076, 0.04563266820855827, 0.056323834535847696, 0.027337332147172575, 0.0550461672117831, 0.062219806389076024, 0.08530922112065882, 0.06743545413790941, 0.057048185883798445, 0.0851578891895047, 0.07166282827870193, 0.07903802515627215, 0.1453806710966726, 0.06907071118261297, 0.1130155798012394, 0.11261947896432009, 0.15655318153915204, 0.14270858480857784, 0.12410166902027883]","[52.5, 57.5, 62.5, 67.5, 72.5, 77.5, 82.5, 87.5, 92.5, 97.5, 102.5, 107.5, 112.5, 117.5, 122.5, 127.5, 132.5, 137.5, 142.5, 147.5, 152.5, 157.5, 162.5, 167.5, 172.5, 177.5, 182.5, 187.5, 192.5, 197.5, 202.5, 207.5, 212.5, 217.5, 222.5, 227.5, 232.5, 237.5, 242.5, 247.5, 252.5, 257.5, 262.5, 267.5, 272.5, 277.5, 282.5, 287.5, 292.5, 297.5, 302.5, 307.5, 312.5, 317.5, 322.5, 327.5, 332.5, 337.5, 342.5, 347.5, 352.5, 357.5, 362.5, 367.5, 372.5, 377.5, 382.5, 387.5, 392.5, 397.5, 402.5, 407.5, 412.5, 417.5, 422.5, 427.5, 432.5, 437.5, 442.5, 447.5, 452.5, 457.5, 462.5, 467.5, 472.5, 477.5, 482.5, 487.5, 492.5, 497.5, 502.5, 507.5, 512.5, 517.5, 522.5, 527.5, 532.5, 537.5, 542.5, 547.5, 552.5, 557.5, 562.5, 567.5, 572.5, 577.5, 582.5, 587.5, 592.5, 597.5, 602.5, 607.5, 612.5, 617.5, 622.5, 627.5, 632.5, 637.5, 642.5, 647.5, 652.5, 657.5, 662.5, 667.5]",0.07340241285987996,75.5055013767262,5.672285677279376,0.8506237875058468
